순,등록번호,청구기호,서명,저작자,편/권차,발행자,발행년,가격,자료실명
36,EM0000451003,485.16-민73ㄴ-2,나무 입문  : 꽃 피는 순서로 만나는 남이섬 나무. 2,글·사진: 민점호,2,나미북스,2019,35000,임시자료실
37,EM0000451004,331.5412-섀228ㄷ,디지털 유인원,"나이절 섀드볼트, 로저 햄프슨 [공]지음 ; 김명주 옮김",,을유문화사,2019,18000,임시자료실
38,EM0000451007,525.7-박67ㅅ,식물의 위로  : 매일 조금씩 마음이 자라는 반려식물 이야기,박원순 지음,,행성B(행성비),2019,13500,임시자료실
39,EM0000451009,481-만827ㅅ,식물혁명  = Plant revolution,스테파노 만쿠소 지음  ; 김현주 옮김,,동아엠앤비,2019,19000,임시자료실
40,EM0000451014,401-볼849ㅈ,자연의 패턴  : 필립 볼의 형태학 아카이브,지은이: 필립 볼  ; 옮긴이: 조민웅,,사이언스북스,2019,29500,임시자료실
41,EM0000451023,513.898-이18ㅊ,(스마트 에이징을 위한) 치매 예방 인지·의사소통 놀이 48  = Anti-dementia cognitive communication play for smart ageing 48,"지은이: 이금자, 김화수, 임은실",,학지사,2019,15000,임시자료실
42,EM0000451024,청530-한96ㅅ,10대에게 권하는 공학  : 학교에서 가르치지 않는 공학의 쓸모  : 사람과 사회에 도움이 되는 학문 공학의 가치에 대해 알려 주다,한화택 지음,,글담출판,2018,13800,임시자료실
43,EM0000451037,527.4186-김211ㅂ,반려견 홈케어  : 서울대 수의사 언니의 똑건한 강아지 육아 가이드,김나연 지음,,포레스트북스,2019,16000,임시자료실
44,EM0000451040,592.27-송98ㅋ,(블루체크의) 코바늘 손뜨개 수업  : 손쉽게 완성하는 스타일리시한 손뜨개 소품,지은이: 송희정,,로지,2019,16800,임시자료실
45,EM0000451041,594.62-한65ㅅ,세상에서 가장 맛있는 냠냠 이유식,글·사진: 한온유,,더 디퍼런스,2019,9800,임시자료실
46,EM0000451045,593-이14ㅅ,손바느질 손뜨개 소품 DIY  : 참 쉬운 나만의 생활 소품 만들기,이경은 지음,,성안당,2015,19800,임시자료실
47,EM0000451046,594.5-수39-2,수미네 반찬  : 김수미표 는둥만둥 레시피북.  2,"김수미, 여경래, 최현석, 미카엘 아쉬미노프, tvN 제작부",2,성안당,2019,17000,임시자료실
48,EM0000451052,594.5535-히221ㅇ,오늘부터 채소요리,지은이: 히다 가즈오  ; 옮긴이: 조수연,,한스미디어,2019,16800,임시자료실
49,EM0000451056,598.1-엄77ㅇ=2,외동아이 이렇게 키웠습니다  : 엄마도 크고 아이도 크는 외동 엄마의 행복한 육아 비법,엄주하 지음,,다독다독,2018,18000,임시자료실
50,EM0000451068,593.23-장813ㅎ,(만화로 보는) 한국미용 100년의 발자취,장철환 글·그림,,북랩,2019,14000,임시자료실
51,EM0000451080,600.421-불849ㄱ,그리스·로마 신화에 빠진 화가들,토마스 불핀치 지음  ; 고산 옮김,,Book Star,2019,28000,임시자료실
52,EM0000451091,636.5-마58ㅁ,마크라메 매듭 디자인  : 17가지 매듭으로 만드는 내추럴한 감성 소품 21,마쓰다 사와 지음  ; 배혜영 옮김,,한스미디어,2019,14000,임시자료실
53,EM0000451109,601.04-박68ㅇ,우연한 그림  : 박은영 미술에세이,지은이: 박은영,,서울하우스,2019,15000,임시자료실
54,EM0000451112,980.24-박77ㅈ,자전거를 타고 세상을 만나다  : 미니멀리스트 자전거여행 바이블,박주하 지음,,행복한책읽기,2019,19000,임시자료실
55,EM0000451121,670.15-임53ㅋ,클래식을 변호하다  : 유튜브를 활용한 클래식 감상,임성우 지음,,예솔,2019,17000,임시자료실
56,EM0000451131,740-김61ㅇ,1년 만에 교포로 오해받은 김아란의 영어 정복기  : 영어를 배우는 당신이 꼭 봐야 할 아란잉글리쉬,저자: 김아란,,시대인,2019,15000,임시자료실
57,EM0000451146,740.7-김73ㅇ,"(엄마가 시작하고 아이가 끝내는) 엄마표 영어  : 듣고, 읽고, 놀다 보면 영어가 되는 실현 가능한 영어 교육법",김정은 지음,,한빛라이프,2019,15800,임시자료실
58,EM0000451159,737.5-박64ㅇ,(일본어뱅크 톡톡) 일본어 여행회화  : 히라가나부터 여행회화까지 한 번에!,"박영숙, 요시다 다카, 우미노 하루미 지음",,동양북스,2019,14000,임시자료실
59,EM0000451161,청713-장79ㅅ,(한국인이면 반드시 알아야 할) 신문 속 언어지식  = Living knowledge language & information in the newspaper,지은이: 장진한,,북코리아,2019,19000,임시자료실
60,EM0000451187,853-샤39ㄱ,그림자를 판 사나이,아델베르트 폰 샤미소 지음  ; 최문규 옮김,,열림원,2019,13000,임시자료실
61,EM0000451188,833.6-미62ㄱ,금빛 눈의 고양이,미야베 미유키 지음  ; 김소연 옮김,,북스피어,2019,16800,임시자료실
62,EM0000451196,337.2-김79ㄴ,나는 내 파이를 구할 뿐 인류를 구하러 온 게 아니라고  : 자기 몫을 되찾고 싶은 여성들을 위한 야망 에세이,김진아 지음,,바다출판사,2019,12800,임시자료실
