year_local,area,year,10a당 생산량 (kg)
2017_광주광역시,광주광역시,2017,5580
2018_광주광역시,광주광역시,2018,5940
2019_광주광역시,광주광역시,2019,6994
1981_대전광역시,대전광역시,1981,-
1982_대전광역시,대전광역시,1982,-
1983_대전광역시,대전광역시,1983,-
1984_대전광역시,대전광역시,1984,-
1985_대전광역시,대전광역시,1985,-
1986_대전광역시,대전광역시,1986,-
1987_대전광역시,대전광역시,1987,-
1988_대전광역시,대전광역시,1988,-
1989_대전광역시,대전광역시,1989,-
1990_대전광역시,대전광역시,1990,-
1991_대전광역시,대전광역시,1991,-
1992_대전광역시,대전광역시,1992,0
1993_대전광역시,대전광역시,1993,0
1994_대전광역시,대전광역시,1994,0
1995_대전광역시,대전광역시,1995,4072
1996_대전광역시,대전광역시,1996,3998
1997_대전광역시,대전광역시,1997,4139
1998_대전광역시,대전광역시,1998,0
1999_대전광역시,대전광역시,1999,0
2000_대전광역시,대전광역시,2000,4999
2001_대전광역시,대전광역시,2001,4350
2002_대전광역시,대전광역시,2002,0
2003_대전광역시,대전광역시,2003,0
2004_대전광역시,대전광역시,2004,0
2005_대전광역시,대전광역시,2005,5500
2006_대전광역시,대전광역시,2006,4475
2007_대전광역시,대전광역시,2007,5258
2008_대전광역시,대전광역시,2008,6137
2009_대전광역시,대전광역시,2009,6313
2010_대전광역시,대전광역시,2010,3990
2011_대전광역시,대전광역시,2011,6276
2012_대전광역시,대전광역시,2012,3936
2013_대전광역시,대전광역시,2013,4191
2014_대전광역시,대전광역시,2014,6628
2015_대전광역시,대전광역시,2015,5707
2016_대전광역시,대전광역시,2016,6270
2017_대전광역시,대전광역시,2017,5243
2018_대전광역시,대전광역시,2018,5570
2019_대전광역시,대전광역시,2019,5547
1981_울산광역시,울산광역시,1981,-
1982_울산광역시,울산광역시,1982,-
1983_울산광역시,울산광역시,1983,-
1984_울산광역시,울산광역시,1984,-
1985_울산광역시,울산광역시,1985,-
1986_울산광역시,울산광역시,1986,-
1987_울산광역시,울산광역시,1987,-
1988_울산광역시,울산광역시,1988,-
1989_울산광역시,울산광역시,1989,-
1990_울산광역시,울산광역시,1990,-
1991_울산광역시,울산광역시,1991,-
1992_울산광역시,울산광역시,1992,-
1993_울산광역시,울산광역시,1993,-
1994_울산광역시,울산광역시,1994,-
1995_울산광역시,울산광역시,1995,-
1996_울산광역시,울산광역시,1996,-
1997_울산광역시,울산광역시,1997,-
1998_울산광역시,울산광역시,1998,5880
1999_울산광역시,울산광역시,1999,5236
2000_울산광역시,울산광역시,2000,3680
2001_울산광역시,울산광역시,2001,4533
2002_울산광역시,울산광역시,2002,4259
2003_울산광역시,울산광역시,2003,3319
2004_울산광역시,울산광역시,2004,5417
2005_울산광역시,울산광역시,2005,6578
2006_울산광역시,울산광역시,2006,3857
2007_울산광역시,울산광역시,2007,6058
2008_울산광역시,울산광역시,2008,5633
2009_울산광역시,울산광역시,2009,4468
2010_울산광역시,울산광역시,2010,4568
2011_울산광역시,울산광역시,2011,4950
2012_울산광역시,울산광역시,2012,3970
2013_울산광역시,울산광역시,2013,5889
2014_울산광역시,울산광역시,2014,5646
2015_울산광역시,울산광역시,2015,5167
2016_울산광역시,울산광역시,2016,7445
2017_울산광역시,울산광역시,2017,6082
2018_울산광역시,울산광역시,2018,6451
2019_울산광역시,울산광역시,2019,5984
1981_경기도,경기도,1981,1374
1982_경기도,경기도,1982,2400
1983_경기도,경기도,1983,3700
1984_경기도,경기도,1984,2800
1985_경기도,경기도,1985,-
1986_경기도,경기도,1986,3870
1987_경기도,경기도,1987,4441
1988_경기도,경기도,1988,-
1989_경기도,경기도,1989,-
1990_경기도,경기도,1990,-
1991_경기도,경기도,1991,4061
1992_경기도,경기도,1992,4233
1993_경기도,경기도,1993,4120
1994_경기도,경기도,1994,3620
1995_경기도,경기도,1995,4072
1996_경기도,경기도,1996,3998
1997_경기도,경기도,1997,4139
1998_경기도,경기도,1998,6573
1999_경기도,경기도,1999,2659
2000_경기도,경기도,2000,2730
2001_경기도,경기도,2001,2940
2002_경기도,경기도,2002,4738
2003_경기도,경기도,2003,2724
2004_경기도,경기도,2004,4047
2005_경기도,경기도,2005,3386
2006_경기도,경기도,2006,3726
2007_경기도,경기도,2007,4783
2008_경기도,경기도,2008,3114
2009_경기도,경기도,2009,2778
2010_경기도,경기도,2010,3464
2011_경기도,경기도,2011,5405
2012_경기도,경기도,2012,3278
2013_경기도,경기도,2013,5170
2014_경기도,경기도,2014,4080
2015_경기도,경기도,2015,4628
2016_경기도,경기도,2016,6046
2017_경기도,경기도,2017,4559
2018_경기도,경기도,2018,5502
2019_경기도,경기도,2019,6545
1981_강원도,강원도,1981,1294
1982_강원도,강원도,1982,2597
1983_강원도,강원도,1983,3729
1984_강원도,강원도,1984,2662
1985_강원도,강원도,1985,3656
1986_강원도,강원도,1986,3870
1987_강원도,강원도,1987,4077
1988_강원도,강원도,1988,2959
1989_강원도,강원도,1989,4130
1990_강원도,강원도,1990,5359
1991_강원도,강원도,1991,4061
1992_강원도,강원도,1992,4233
1993_강원도,강원도,1993,4120
1994_강원도,강원도,1994,3620
1995_강원도,강원도,1995,4072
1996_강원도,강원도,1996,3988
1997_강원도,강원도,1997,2486
1998_강원도,강원도,1998,4795
1999_강원도,강원도,1999,4857
2000_강원도,강원도,2000,5297
2001_강원도,강원도,2001,5032
2002_강원도,강원도,2002,4607
2003_강원도,강원도,2003,4477
2004_강원도,강원도,2004,5474
2005_강원도,강원도,2005,4349
2006_강원도,강원도,2006,5101
2007_강원도,강원도,2007,5049
2008_강원도,강원도,2008,6174
2009_강원도,강원도,2009,6064
2010_강원도,강원도,2010,4036
2011_강원도,강원도,2011,5139
2012_강원도,강원도,2012,4865
2013_강원도,강원도,2013,2892
2014_강원도,강원도,2014,3463
2015_강원도,강원도,2015,4025
2016_강원도,강원도,2016,6224
2017_강원도,강원도,2017,5911
