year_local,area,year,10a당 생산량 (kg),3월 일산화탄소,10월 이산화질소,11월 일산화탄소,12월 아황산가스,습도 1월,12월 일산화탄소,4월 일산화탄소,강수량 5월,일조시간 8월,2월 오존,최고기온 3월,일조시간 7월,최고기온 2월,아연 Zn
2010_부산광역시,부산광역시,2010,7163,0.4,0.021,0.4666666666666666,0.006333333333333333,40.709677419354854,0.4666666666666666,0.4,6.025806451612903,4.451612903225806,0.024,11.545161290322582,2.7096774193548385,10.010714285714286,36.4335
2011_부산광역시,부산광역시,2011,7393,0.4,0.019,0.5,0.006999999999999999,33.645161290322584,0.5,0.4,5.483870967741934,6.903225806451613,0.024,12.52258064516129,5.32258064516129,10.860714285714288,40.26300000000001
2012_부산광역시,부산광역시,2012,6303,0.4,0.021,0.4,0.006,41.774193548387096,0.4,0.4,1.164516129032258,3.9032258064516134,0.022000000000000002,12.319354838709677,5.67741935483871,7.196551724137932,37.4875515
2013_부산광역시,부산광역시,2013,8265,0.5,0.023,0.5,0.006,41.709677419354854,0.5,0.4,6.483870967741934,7.064516129032258,0.025,14.683870967741935,7.225806451612903,9.278571428571428,39.935
2014_부산광역시,부산광역시,2014,7271,0.4,0.018000000000000002,0.4,0.006999999999999999,41.41935483870968,0.4,0.4,4.706451612903226,9.258064516129034,0.027000000000000003,14.509677419354842,7.096774193548387,9.921428571428573,41.0495
2015_부산광역시,부산광역시,2015,6584,0.4,0.018000000000000002,0.4,0.006,53.41935483870968,0.4,0.4,5.903225806451613,3.870967741935484,0.026000000000000002,14.341935483870964,6.161290322580645,10.203571428571426,41.924011
2016_부산광역시,부산광역시,2016,7445,0.4,0.021,0.4,0.005,49.161290322580655,0.5,0.4,3.5096774193548392,7.096774193548387,0.027000000000000003,14.400000000000002,6.129032258064518,10.427586206896553,47.1055
2017_부산광역시,부산광역시,2017,6082,0.4,0.018000000000000002,0.4,0.005,46.12903225806453,0.5,0.4,1.2645161290322582,9.483870967741936,0.031,13.890322580645163,7.580645161290323,10.767857142857142,42.51600000000001
2018_부산광역시,부산광역시,2018,4881,0.4,0.016,0.4,0.004,44.774193548387096,0.4,0.3,5.025806451612904,7.451612903225808,0.027000000000000003,14.446666666666667,6.387096774193548,8.867857142857146,61.88112
2019_부산광역시,부산광역시,2019,6463,0.4,0.019,0.4,0.004,36.75,0.4,0.4,2.454838709677419,8.451612903225808,0.028999999999999998,15.207142857142859,9.290322580645162,11.3,46.89522620000001
2010_대구광역시,대구광역시,2010,5181,0.5,0.02766666666666667,0.6,0.006333333333333333,47.483870967741936,0.6333333333333333,0.5,3.1451612903225805,3.967741935483871,0.018000000000000002,11.138709677419353,2.548387096774193,8.689285714285713,62.5277955
2011_대구광역시,대구광역시,2011,5379,0.5,0.026000000000000002,0.7,0.006999999999999999,38.096774193548384,0.7,0.5,5.058064516129033,4.709677419354839,0.017,12.603225806451617,3.7741935483870965,9.482142857142858,69.858963
2012_대구광역시,대구광역시,2012,3901,0.5,0.031,0.6,0.006,46.516129032258064,0.5,0.4,1.632258064516129,3.2258064516129035,0.02,12.712903225806453,4.064516129032258,5.93793103448276,63.03106800000001
2013_대구광역시,대구광역시,2013,6909,0.5,0.026000000000000002,0.5,0.006,51.516129032258064,0.7,0.4,2.274193548387097,6.129032258064518,0.019,16.625806451612902,6.548387096774192,7.4678571428571425,67.284033
2014_대구광역시,대구광역시,2014,6089,0.5,0.023,0.5,0.006,40.12903225806452,0.6,0.4,0.7870967741935483,8.0,0.021,15.270967741935484,6.806451612903228,9.346428571428572,72.608734
2015_대구광역시,대구광역시,2015,4328,0.5,0.026000000000000002,0.5,0.005,56.61290322580646,0.5,0.4,1.1193548387096774,4.0,0.019,15.451612903225806,6.258064516129032,9.035714285714286,64.660484
2016_대구광역시,대구광역시,2016,7108,0.4,0.022000000000000002,0.4,0.004,57.74193548387096,0.6,0.4,2.096774193548387,5.806451612903228,0.022000000000000002,14.538709677419355,4.806451612903227,8.303448275862069,78.7828445
2017_대구광역시,대구광역시,2017,8734,0.5,0.019,0.5,0.004,51.45161290322582,0.6,0.4,1.0677419354838709,8.483870967741936,0.024,13.948387096774194,5.612903225806452,8.757142857142862,73.0047675
2018_대구광역시,대구광역시,2018,9368,0.4,0.018000000000000002,0.5,0.004,48.645161290322584,0.6,0.4,3.2161290322580647,6.67741935483871,0.023,15.566666666666665,4.516129032258065,7.139285714285713,75.40143
2019_대구광역시,대구광역시,2019,8426,0.5,0.021,0.6,0.004,40.32142857142857,0.6,0.4,0.8290322580645161,7.064516129032258,0.024,15.632142857142856,7.354838709677418,9.1,72.89165200000002
2010_인천광역시,인천광역시,2010,7193,0.5,0.032,0.6666666666666666,0.008666666666666668,66.5,0.7333333333333334,0.5,3.9967741935483865,6.03225806451613,0.018000000000000002,8.348387096774191,5.725806451612903,4.800000000000002,40.26300000000001
2011_인천광역시,인천광역시,2011,3804,0.5,0.033,0.7,0.009000000000000001,55.25806451612904,0.7,0.5,2.55483870967742,4.258064516129032,0.016,8.141935483870968,4.467741935483871,5.307142857142859,35.103
2012_인천광역시,인천광역시,2012,3709,0.5,0.035,0.6,0.009000000000000001,53.37096774193547,0.7,0.5,0.3887096774193549,3.741935483870968,0.02,8.733870967741936,3.129032258064516,2.758620689655172,39.935
2013_인천광역시,인천광역시,2013,2294,0.6,0.027999999999999997,0.7,0.008,70.30645161290322,0.8,0.6,4.827419354838709,5.129032258064517,0.02,8.748387096774191,4.306451612903226,1.9,39.935
2014_인천광역시,인천광역시,2014,4072,0.6,0.028999999999999998,0.7,0.009000000000000001,64.54838709677419,0.8,0.5,2.6403225806451616,6.983870967741934,0.021,11.43387096774193,2.693548387096774,5.160714285714287,41.0495
2015_인천광역시,인천광역시,2015,2833,0.7,0.032,0.7,0.006999999999999999,67.69354838709678,0.7,0.6,0.920967741935484,5.225806451612904,0.02,10.185483870967744,5.774193548387097,4.883928571428571,39.956
2016_인천광역시,인천광역시,2016,6046,0.6,0.026000000000000002,0.7,0.006999999999999999,60.79032258064516,0.8,0.5,5.490322580645162,6.82258064516129,0.021,10.69032258064516,5.370967741935483,4.570689655172413,50.3423925
2017_인천광역시,인천광역시,2017,5569,0.7,0.025,0.7,0.006,59.11290322580646,0.8,0.6,0.7774193548387096,7.983870967741934,0.023,10.543548387096779,5.46774193548387,4.035714285714286,43.6425715
2019_인천광역시,인천광역시,2019,6477,0.6,0.026000000000000002,0.7,0.005,48.67857142857143,0.6,0.5,1.2290322580645159,7.870967741935482,0.023,10.798214285714282,8.064516129032258,5.021428571428571,42.9850928
2010_광주광역시,광주광역시,2010,4996,0.5,0.021666666666666667,0.6333333333333333,0.004666666666666667,68.74193548387096,0.6333333333333333,0.5,3.193548387096774,4.709677419354839,0.019,11.82258064516129,2.935483870967741,8.957142857142857,45.681528
2011_광주광역시,광주광역시,2011,5574,0.5,0.021,0.6,0.005,60.25806451612904,0.7,0.5,4.609677419354838,4.064516129032258,0.02,11.370967741935484,3.290322580645161,9.071428571428571,61.2708705
2012_광주광역시,광주광역시,2012,7733,0.5,0.022000000000000002,0.7,0.004,64.41935483870968,0.6,0.4,1.3741935483870968,3.032258064516129,0.022000000000000002,11.74516129032258,3.838709677419355,5.262068965517243,46.1858535
2013_광주광역시,광주광역시,2013,7443,0.6,0.022000000000000002,0.6,0.005,66.12903225806451,0.6,0.5,2.790322580645161,5.96774193548387,0.024,15.319354838709677,5.225806451612904,7.042857142857144,43.45467100000001
2014_광주광역시,광주광역시,2014,6628,0.6,0.021,0.6,0.005,58.0,0.7,0.5,1.8387096774193548,8.612903225806452,0.024,14.529032258064516,5.451612903225807,9.650000000000002,54.126627
2015_광주광역시,광주광역시,2015,6603,0.5,0.02,0.6,0.004,65.64516129032258,0.9,0.5,1.5677419354838709,4.096774193548387,0.026000000000000002,14.729032258064516,5.483870967741934,7.828571428571429,54.42689300000001
2016_광주광역시,광주광역시,2016,5700,0.5,0.021,0.5,0.003,69.12903225806451,0.6,0.4,3.370967741935484,5.67741935483871,0.028999999999999998,14.732258064516133,4.774193548387096,8.203448275862067,49.760994
2017_광주광역시,광주광역시,2017,5580,0.5,0.019,0.6,0.003,65.90322580645162,0.6,0.4,0.9741935483870968,7.741935483870968,0.028999999999999998,13.758064516129036,6.290322580645161,8.417857142857144,42.51600000000001
2018_광주광역시,광주광역시,2018,5940,0.6,0.017,0.6,0.003,66.45161290322581,0.6,0.5,2.754838709677419,6.161290322580645,0.026000000000000002,16.53333333333334,4.0,7.1071428571428585,43.38242
2019_광주광역시,광주광역시,2019,6994,0.5,0.019,0.7,0.003,53.42857142857143,0.6,0.4,2.5419354838709682,7.451612903225808,0.027999999999999997,14.625000000000002,7.516129032258066,8.971428571428572,48.84258680000001
2010_대전광역시,대전광역시,2010,3990,0.5,0.025000000000000005,0.6,0.005666666666666667,66.54838709677419,0.7000000000000001,0.4,3.793548387096774,5.774193548387097,0.015,9.696774193548388,4.0,6.721428571428571,36.4335
2011_대전광역시,대전광역시,2011,6276,0.5,0.025,0.7,0.006,57.516129032258064,0.8,0.4,5.225806451612904,3.838709677419355,0.016,10.490322580645161,4.225806451612904,7.642857142857141,40.26300000000001
2012_대전광역시,대전광역시,2012,3936,0.5,0.024,0.6,0.005,60.483870967741936,0.7,0.4,0.7741935483870968,3.2580645161290325,0.018000000000000002,10.487096774193553,3.2580645161290325,4.458620689655173,35.103
2013_대전광역시,대전광역시,2013,4191,0.4,0.026000000000000002,0.5,0.006,73.64516129032258,0.6,0.4,3.561290322580645,6.290322580645161,0.02,13.670967741935485,6.258064516129032,5.146428571428571,39.935
2014_대전광역시,대전광역시,2014,6628,0.5,0.022000000000000002,0.5,0.006,65.16129032258064,0.7,0.4,1.6032258064516127,8.516129032258064,0.019,13.929032258064515,4.935483870967742,8.289285714285715,41.0495
2015_대전광역시,대전광역시,2015,5707,0.5,0.021,0.6,0.006,72.6774193548387,0.7,0.4,0.9322580645161292,4.129032258064516,0.021,14.267741935483867,5.870967741935482,7.225,39.956
2016_대전광역시,대전광역시,2016,6270,0.5,0.024,0.5,0.005,68.54838709677419,0.6,0.4,2.7451612903225806,7.419354838709677,0.02,14.077419354838707,5.935483870967742,7.017241379310348,47.1055
2017_대전광역시,대전광역시,2017,5243,0.5,0.019,0.6,0.004,67.2258064516129,0.6,0.4,0.9451612903225808,8.35483870967742,0.023,13.36129032258065,6.580645161290323,7.153571428571429,42.51600000000001
2018_대전광역시,대전광역시,2018,5570,0.4,0.018000000000000002,0.5,0.003,66.16129032258064,0.6,0.4,3.0935483870967744,6.32258064516129,0.023,14.936666666666673,4.67741935483871,5.625,42.21
2019_대전광역시,대전광역시,2019,5547,0.5,0.02,0.6,0.003,53.17857142857143,0.6,0.3,1.1483870967741936,7.129032258064518,0.016,13.971428571428573,8.193548387096774,7.760714285714285,42.567400000000006
2010_울산광역시,울산광역시,2010,4568,0.4,0.023000000000000003,0.5333333333333333,0.006333333333333333,46.67741935483871,0.6,0.5,4.429032258064517,4.806451612903227,0.021,11.009677419354839,2.967741935483871,9.175,40.26300000000001
2011_울산광역시,울산광역시,2011,4950,0.5,0.019,0.6,0.006999999999999999,40.645161290322584,0.6,0.5,3.7032258064516133,6.451612903225808,0.022000000000000002,12.587096774193547,5.258064516129032,9.457142857142856,35.709663
2012_울산광역시,울산광역시,2012,3970,0.6,0.024,0.5,0.006,52.03225806451614,0.6,0.6,1.2290322580645159,4.129032258064516,0.021,11.98064516129032,5.225806451612904,6.36551724137931,35.103
2013_울산광역시,울산광역시,2013,5889,0.6,0.026000000000000002,0.5,0.006,49.29032258064516,0.6,0.5,5.0032258064516135,5.645161290322582,0.025,16.090322580645164,5.645161290322582,8.985714285714286,39.935
2014_울산광역시,울산광역시,2014,5646,0.5,0.02,0.5,0.006,43.612903225806456,0.6,0.5,1.474193548387097,7.580645161290323,0.025,15.132258064516128,5.064516129032258,9.103571428571428,45.892105
2015_울산광역시,울산광역시,2015,5167,0.6,0.021,0.6,0.006,51.096774193548384,0.5,0.5,3.170967741935484,3.161290322580645,0.024,14.712903225806453,4.838709677419357,9.989285714285717,39.956
2016_울산광역시,울산광역시,2016,7445,0.5,0.022000000000000002,0.5,0.005,49.774193548387096,0.6,0.5,2.7774193548387096,6.096774193548387,0.026000000000000002,14.43870967741935,4.161290322580645,9.968965517241381,47.1055
2017_울산광역시,울산광역시,2017,6082,0.6,0.019,0.6,0.004,50.25806451612904,0.6,0.6,0.8483870967741935,8.96774193548387,0.027999999999999997,12.896774193548383,6.806451612903228,9.446428571428571,42.51600000000001
2018_울산광역시,울산광역시,2018,6451,0.6,0.016,0.7,0.004,47.0,0.6,0.5,3.07741935483871,7.225806451612903,0.03,14.57666666666667,5.483870967741934,7.614285714285713,52.8489
2019_울산광역시,울산광역시,2019,5984,0.5,0.018000000000000002,0.6,0.004,37.57142857142857,0.5,0.5,1.1290322580645162,7.903225806451613,0.03,15.657142857142858,8.548387096774192,10.132142857142858,45.663701
2010_경기도,경기도,2010,3464,0.6,0.033,0.6666666666666666,0.006999999999999999,70.07096774193549,0.7666666666666666,0.5,3.419354838709678,5.483870967741934,0.015,8.903870967741934,4.5032258064516135,5.677857142857143,36.4335
2011_경기도,경기도,2011,5405,0.5,0.033,0.7,0.006999999999999999,60.66451612903226,0.8,0.6,3.2283870967741937,3.329032258064516,0.013999999999999999,9.57161290322581,3.838709677419355,6.330714285714289,40.26300000000001
2012_경기도,경기도,2012,3278,0.6,0.036000000000000004,0.6,0.006999999999999999,59.8,0.7,0.5,0.8509677419354835,3.4709677419354836,0.017,10.258709677419356,2.967741935483871,3.831034482758621,35.103
2013_경기도,경기도,2013,5170,0.6,0.03,0.7,0.006999999999999999,69.52903225806453,0.8,0.6,4.148387096774194,5.329032258064517,0.019,11.880645161290314,4.670967741935483,3.5628571428571423,41.088251
2014_경기도,경기도,2014,4080,0.6,0.027999999999999997,0.6,0.006999999999999999,61.632258064516144,0.8,0.5,2.170322580645161,6.703225806451613,0.017,13.754838709677413,3.0516129032258066,6.8364285714285655,42.271132
2015_경기도,경기도,2015,4628,0.6,0.031,0.6,0.006,61.96774193548386,0.7,0.5,1.0219354838709676,4.645161290322581,0.019,12.978709677419353,5.670967741935482,6.0664285714285695,39.956
2016_경기도,경기도,2016,6046,0.6,0.032,0.6,0.005,56.6,0.7,0.5,4.440000000000001,6.67741935483871,0.019,13.359354838709676,5.380645161290324,5.8579310344827595,50.169457
2017_경기도,경기도,2017,4559,0.6,0.027000000000000003,0.6,0.005,61.30967741935484,0.7,0.5,0.7929032258064517,7.451612903225808,0.019,12.710967741935484,4.832258064516129,5.304285714285716,45.3444375
2018_경기도,경기도,2018,5502,0.5,0.025,0.5,0.005,56.096774193548384,0.6,0.4,6.733548387096772,5.064516129032258,0.02,13.937333333333326,3.9032258064516134,3.8364285714285717,47.54262
2019_경기도,경기도,2019,6545,0.6,0.025,0.6,0.004,48.0,0.6,0.4,0.9109677419354839,7.180645161290323,0.019,12.801428571428568,7.961290322580645,6.301428571428571,45.05672929999999
2010_강원도,강원도,2010,4036,0.6,0.019,0.7666666666666666,0.007333333333333333,56.99413489736071,0.8333333333333334,0.5,3.0712609970674487,5.035483870967743,0.021,6.719354838709682,4.138709677419355,4.427272727272729,43.3122505
2011_강원도,강원도,2011,5139,0.6,0.019,0.8,0.006999999999999999,47.85923753665689,0.9,0.5,3.339589442815248,2.9824046920821115,0.019,7.592082111436947,3.378299120234604,5.3207792207792215,44.88225900000001
2012_강원도,강원도,2012,4865,0.7,0.021,0.7,0.006999999999999999,53.4529411764706,0.7,0.5,1.2354838709677418,3.3372434017595314,0.021,7.753958944281519,2.4794117647058824,2.55360501567398,46.8052275
2013_강원도,강원도,2013,2892,0.7,0.017,0.8,0.008,59.91788856304985,0.9,0.6,2.676539589442816,4.155425219941349,0.024,10.141348973607053,4.612903225806452,3.1474025974025963,41.742268
