,카드뮴 Cd,구리 Cu,비소 As,수은 Hg,납 Pb,6가크롬 Cr6+,아연 Zn,니켈 Ni,불소 F,유기인,폴리클로리네이티드비페닐 PCB,시안 CN,페놀류,유류,트리클로로에틸렌 TCE,테트라클로로에틸렌 PCE,수소이온농도 pH
2004_경기도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2004_경상남도,0.048235999999999994,11.011982,2.771664,0.017261,9.5568785,0.10376650000000001,42.84299,10.1966945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474328
2004_경상북도,0.053911999999999995,12.673244,3.101388,0.019712,10.692271999999999,0.12356800000000001,48.28808,11.379044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875776
2004_광주광역시,0.057220999999999994,13.806336499999999,3.2952224999999995,0.02133,11.359058999999998,0.13853100000000002,51.64429,12.0604445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.106488
2004_대구광역시,0.05809899999999999,13.920443500000001,3.3448275,0.021544999999999998,11.530458499999998,0.13862649999999999,52.328759999999996,12.250183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.171472
2004_대전광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004_부산광역시,0.044572999999999995,11.2722845,2.5719225,0.01721,8.863606999999998,0.118663,40.80077,9.3698285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.188344
2004_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004_울산광역시,0.055612,13.394422,3.2023319999999997,0.020703,11.0389515,0.1341435,50.16593,11.722451500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9914960000000006
2004_인천광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
